binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss,disk
geo_btree,geo,btree,geo,c2,19,0.1,4,hash,join-ns,0,1,4.33,,,230.94688221709006,476.045,,,,,,,,1.14,687688.0,100.0,0.0,0.0,502.13,174141.0,0.0,0.0,0.0,0.0,0.0,129677.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,4,hash,join-nsc,0,1,104.61,,,9.559315553006405,476.045,,,,,,,,1.1,687688.0,100.0,0.0,0.0,15.54,5649.0,0.0,0.0,0.0,0.0,0.0,3950.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,4,hash,mixed-n,0,1,0.2182,,,4582.9514207149405,476.045,,,,,,,,0.61,687688.0,100.0,0.0,0.0,15.24,5248.0,0.0,0.0,0.0,0.0,0.0,3881.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,4,hash,mixed-ns,0,1,4.08,,,245.09803921568627,476.045,,,,,,,,1.1,687688.0,100.0,0.0,0.0,504.28,168237.0,0.0,0.0,0.0,0.0,0.0,130112.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,4,hash,mixed-nsc,0,1,93.66,,,10.676916506512919,476.045,,,,,,,,1.01,687688.0,100.0,0.0,0.0,15.48,5111.0,0.0,0.0,0.0,0.0,0.0,4039.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,4,hash,distinct-n,0,1,0.1685,,,5934.718100890207,476.045,,,,,,,,0.44,687688.0,100.0,0.0,0.0,15.18,4979.0,0.0,0.0,0.0,0.0,0.0,3869.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,4,hash,distinct-ns,0,1,5.51,,,181.48820326678768,476.045,,,,,,,,0.69,687688.0,100.0,0.0,0.0,24.58,8914.0,0.0,0.0,0.0,0.0,0.0,6354.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,4,hash,distinct-nsc,0,1,112.72,,,8.87154009936125,476.045,,,,,,,,0.6,687688.0,100.0,0.0,0.0,15.2,5513.0,0.0,0.0,0.0,0.0,0.0,4047.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,4,hash,maintain,0,1,834.12,,,1.1988682683546732,476.045,,,,,,,,0.3,687688.0,100.0,0.0,0.0,14.81,5076.0,0.0,0.0,0.0,0.0,0.0,3861.0,,,,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,join-n,0,1,9.5,,,105.26315789473684,493.503,,132557258.0,,,,,69.05,,,,,,,,,,,,,,34215.56,0.0,0.0,,,,hdd
