binary,family,backend,query,cell,structure,bg,method,tx,n,tx_per_s_median,tx_per_s_iqr,bg_tx_count_median,disk
geo_lsm,geo,lsm,geo,c2,3,1,merged_idx,join-ns,3,18.77,1.1550000000000011,,hdd
geo_lsm,geo,lsm,geo,c2,3,1,merged_idx,join-nsc,3,25.03,10.449999999999996,,hdd
geo_lsm,geo,lsm,geo,c2,3,1,merged_idx,mixed-n,3,3.37,0.565,,hdd
geo_lsm,geo,lsm,geo,c2,3,1,merged_idx,mixed-ns,3,18.29,2.379999999999999,,hdd
geo_lsm,geo,lsm,geo,c2,3,1,merged_idx,mixed-nsc,3,11.01,14.710000000000004,,hdd
geo_lsm,geo,lsm,geo,c2,3,1,merged_idx,distinct-n,3,3.4,0.2200000000000002,,hdd
geo_lsm,geo,lsm,geo,c2,3,1,merged_idx,distinct-ns,3,16.12,1.6000000000000014,,hdd
geo_lsm,geo,lsm,geo,c2,3,1,merged_idx,distinct-nsc,3,24.04,9.29,,hdd
geo_lsm,geo,lsm,geo,c2,3,1,merged_idx,maintain,3,81.0,3.0,,hdd
geo_lsm,geo,lsm,geo,c2,4,1,hash,join-n,3,1.58,0.2999999999999998,,hdd
geo_lsm,geo,lsm,geo,c2,4,1,hash,join-ns,3,7.92,1.2550000000000008,,hdd
geo_lsm,geo,lsm,geo,c2,4,1,hash,join-nsc,3,15.42,9.720000000000002,,hdd
geo_lsm,geo,lsm,geo,c2,4,1,hash,mixed-n,3,3.39,0.6800000000000006,,hdd
geo_lsm,geo,lsm,geo,c2,4,1,hash,mixed-ns,3,6.5,1.799999999999999,,hdd
geo_lsm,geo,lsm,geo,c2,4,1,hash,mixed-nsc,3,10.58,1.075000000000001,,hdd
geo_lsm,geo,lsm,geo,c2,4,1,hash,distinct-n,3,1.87,0.8507,,hdd
geo_lsm,geo,lsm,geo,c2,4,1,hash,distinct-ns,3,11.83,4.875,,hdd
geo_lsm,geo,lsm,geo,c2,4,1,hash,distinct-nsc,3,19.2,6.879999999999999,,hdd
geo_lsm,geo,lsm,geo,c2,4,1,hash,maintain,3,55.0,25.5,,hdd
q3_btree,vanilla,btree,q3,c2,1,0,base_merge_join,query,3,0.01238,0.00033500000000000023,,hdd
q3_btree,vanilla,btree,q3,c2,2,0,pipeline_view,query,3,0.01536,3.999999999999837e-05,,hdd
q3_btree,vanilla,btree,q3,c2,3,0,mi_col_walk,query,3,0.01525,0.00022500000000000124,,hdd
q3_btree,vanilla,btree,q3,c2,4,0,base_hash_join,query,3,0.007353,3.699999999999971e-05,,hdd
