binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss
q3_btree,vanilla,btree,q3,c0,1550,1.0,3,mi_col_walk,query,2,0,0.03796500006643875,1,,26340.05,4386.26,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_btree,vanilla,btree,q3,c0,1550,1.0,4,base_hash_join,query,2,0,0.00919151608359059,1,,108795.97999999998,3402.02,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_btree,vanilla,btree,q3,c0,1550,1.0,1,base_merge_join,query,2,1,0.04178163580117958,1,,23933.96,4287.3,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_btree,vanilla,btree,q3,c0,1550,1.0,2,pipeline_view,query,2,1,0.03723322857143921,1,,26857.73,4521.86,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_btree,vanilla,btree,q3,c0,1550,1.0,3,mi_col_walk,query,2,1,0.039132571761310096,1,,25554.16,4386.26,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_btree,vanilla,btree,q3,c0,1550,1.0,4,base_hash_join,query,2,1,0.009205056816372188,1,,108635.93999999999,3402.02,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_btree,vanilla,btree,q3,c0,1550,1.0,1,base_merge_join,query,2,2,0.041142511075563985,1,,24305.76,4287.3,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_btree,vanilla,btree,q3,c0,1550,1.0,2,pipeline_view,query,2,2,0.03560923846082628,1,,28082.599999999995,4521.86,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_btree,vanilla,btree,q3,c0,1550,1.0,3,mi_col_walk,query,2,2,0.03794529275362539,1,,26353.73,4386.26,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_btree,vanilla,btree,q3,c0,1550,1.0,4,base_hash_join,query,2,2,0.008934607074743528,1,,111924.34,3402.02,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,1,base_merge_join,query,2,0,0.07491040715304495,2,,13349.28,3893.17,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,2,pipeline_view,query,2,0,0.08928284447999885,2,,11200.36,3785.12,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,3,mi_col_walk,query,2,0,0.08823220599043739,2,,11333.73,3709.15,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
