binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,disk
q5_btree,vanilla,btree,q5,c0,1550,1.0,3,mi_col_walk,query,2,2,0.04077,,,24527.83909737552,4390.67,ae9fb9dc,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,4,base_hash_join,query,2,2,0.008882,,,112587.25512272012,3404.91,ae9fb9dc,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,1,base_merge_join,query,2,3,0.02869,,,34855.35029627048,4290.28,ae9fb9dc,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,2,pipeline_view,query,2,3,0.0377,,,26525.198938992045,4673.23,ae9fb9dc,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,3,mi_col_walk,query,2,3,0.04105,,,24360.5359317905,4390.67,ae9fb9dc,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,4,base_hash_join,query,2,3,0.008814,,,113455.86566825504,3404.91,ae9fb9dc,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,1,base_merge_join,query,2,1,0.08061,,,12405.408758218584,3824.1,ae9fb9dc,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,2,pipeline_view,query,2,1,0.1239,,,8071.0250201775625,3711.4,ae9fb9dc,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,3,mi_col_walk,query,2,1,0.1296,,,7716.04938271605,3909.37,ae9fb9dc,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,4,base_hash_join,query,2,1,0.01368,,,73099.41520467837,3121.19,ae9fb9dc,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,1,base_merge_join,query,2,2,0.07923,,,12621.481761958854,3824.1,ae9fb9dc,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,2,pipeline_view,query,2,2,0.1028,,,9727.626459143969,3711.4,ae9fb9dc,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,3,mi_col_walk,query,2,2,0.1224,,,8169.934640522876,3909.37,ae9fb9dc,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,4,base_hash_join,query,2,2,0.01372,,,72886.2973760933,3121.19,ae9fb9dc,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,1,base_merge_join,query,2,3,0.08116,,,12321.34056185313,3824.1,ae9fb9dc,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,2,pipeline_view,query,2,3,0.1012,,,9881.422924901186,3711.4,ae9fb9dc,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,3,mi_col_walk,query,2,3,0.1252,,,7987.220447284345,3909.37,ae9fb9dc,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,4,base_hash_join,query,2,3,0.01346,,,74294.20505200594,3121.19,ae9fb9dc,ssd
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,1,base_merge_join,query,2,1,0.03004,,,33288.948069241014,6241.15,ae9fb9dc,ssd
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,2,pipeline_view,query,2,1,0.0375,,,26666.666666666668,6388.95,ae9fb9dc,ssd
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,3,mi_coli_walk,query,2,1,0.03728,,,26824.034334763946,6362.41,ae9fb9dc,ssd
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,4,base_hash_join,query,2,1,0.007481,,,133671.9689881032,5047.73,ae9fb9dc,ssd
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,1,base_merge_join,query,2,2,0.02987,,,33478.40642785403,6241.15,ae9fb9dc,ssd
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,2,pipeline_view,query,2,2,0.03743,,,26716.53753673524,6388.95,ae9fb9dc,ssd
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,3,mi_coli_walk,query,2,2,0.03778,,,26469.031233456855,6362.41,ae9fb9dc,ssd
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,4,base_hash_join,query,2,2,0.007422,,,134734.57289140395,5047.73,ae9fb9dc,ssd
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,1,base_merge_join,query,2,3,0.02883,,,34686.0908775581,6241.15,ae9fb9dc,ssd
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,2,pipeline_view,query,2,3,0.03727,,,26831.23155352831,6388.95,ae9fb9dc,ssd
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,3,mi_coli_walk,query,2,3,0.03754,,,26638.252530633992,6362.41,ae9fb9dc,ssd
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,4,base_hash_join,query,2,3,0.00762,,,131233.59580052493,5047.73,ae9fb9dc,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,1,base_merge_join,query,2,1,0.06868,,,14560.279557367501,5132.67,ae9fb9dc,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,2,pipeline_view,query,2,1,0.1514,,,6605.019815059445,4844.19,ae9fb9dc,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,3,mi_coli_walk,query,2,1,0.08136,,,12291.052114060964,5239.35,ae9fb9dc,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,4,base_hash_join,query,2,1,0.008829,,,113263.11020500623,4202.31,ae9fb9dc,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,1,base_merge_join,query,2,2,0.07102,,,14080.540692762603,5132.67,ae9fb9dc,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,2,pipeline_view,query,2,2,0.1607,,,6222.775357809583,4844.19,ae9fb9dc,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,3,mi_coli_walk,query,2,2,0.08794,,,11371.38958380714,5239.35,ae9fb9dc,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,4,base_hash_join,query,2,2,0.008963,,,111569.78690170702,4202.31,ae9fb9dc,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,1,base_merge_join,query,2,3,0.0724,,,13812.154696132595,5132.67,ae9fb9dc,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,2,pipeline_view,query,2,3,0.1599,,,6253.908692933083,4844.19,ae9fb9dc,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,3,mi_coli_walk,query,2,3,0.08716,,,11473.152822395594,5239.35,ae9fb9dc,ssd
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,4,base_hash_join,query,2,3,0.009085,,,110071.54650522841,4202.31,ae9fb9dc,ssd
