binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss,disk
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,1,base_merge_join,query,2,2,0.02104,,,47528.51711026616,6241.15,ae9fb9dc,,,,,,,,,,,,,,,,,,,,,,,,,,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,2,pipeline_view,query,2,2,0.03563,,,28066.236317709794,6315.7,ae9fb9dc,9152432142.51,6477693967.155001,135956827.26,7677611.279999999,19027089.965,0.185,99.98,3110600.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,3,mi_coli_walk,query,2,2,0.03469,,,28826.75122513693,6362.41,ae9fb9dc,10384834069.64,7571303057.905001,142789382.79,8671339.795,21787887.009999998,0.2,99.98,3110600.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,4,base_hash_join,query,2,2,0.00764,,,130890.05235602094,5047.73,ae9fb9dc,39543157175.83,26683786875.6,630931525.84,48108102.56,81527461.02,0.18,99.98,3110600.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,1,base_merge_join,query,2,3,0.0211,,,47393.36492890995,6241.15,ae9fb9dc,19150782958.295,13878894344.095,261446115.765,15880369.635000002,40552838.43,0.21000000000000002,99.98,3110600.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,2,pipeline_view,query,2,3,0.03777,,,26476.039184537993,6315.7,ae9fb9dc,9012684863.575,6468230457.93,136596306.225,7685146.945,18810549.935000002,0.185,99.98,3110600.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,3,mi_coli_walk,query,2,3,0.03485,,,28694.404591104736,6362.41,ae9fb9dc,10515252040.810001,7561296283.86,145723815.765,7863808.26,21421359.995,0.2,99.98,3110600.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,4,base_hash_join,query,2,3,0.007615,,,131319.76362442548,5047.73,ae9fb9dc,40237294911.130005,26661927049.295,649616016.495,30499966.05,81715212.455,0.18,99.98,3110600.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,1,base_merge_join,query,2,1,0.05982,,,16716.81711802073,5132.67,ae9fb9dc,32283133691.0,,,,,1.66,,,,,,,,,,,,,,28563305.0,462455500.0,687588314.0,,,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,2,pipeline_view,query,2,1,0.1203,,,8312.551953449709,4858.94,ae9fb9dc,9986849412.0,,,,,1.04,,,,,,,,,,,,,,17594456.5,231395691.5,687511720.0,,,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,3,mi_coli_walk,query,2,1,0.09355,,,10689.470871191877,5239.35,ae9fb9dc,13408821450.0,,,,,1.21,,,,,,,,,,,,,,21913338.0,259364037.0,791269602.0,,,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,4,base_hash_join,query,2,1,0.009109,,,109781.53474585574,4202.31,ae9fb9dc,84640634053.0,,,,,3.95,,,,,,,,,,,,,,192735666.0,463862347.0,687562656.0,,,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,1,base_merge_join,query,2,2,0.05985,,,16708.43776106934,5132.67,ae9fb9dc,31832481921.5,,,,,1.58,,,,,,,,,,,,,,29297884.0,463780137.0,687573450.0,,,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,2,pipeline_view,query,2,2,0.1172,,,8532.423208191127,4858.94,ae9fb9dc,9642459999.5,,,,,1.0,,,,,,,,,,,,,,17934371.5,230216369.5,687521921.0,,,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,3,mi_coli_walk,query,2,2,0.08732,,,11452.130096197894,5239.35,ae9fb9dc,13297589469.0,,,,,1.23,,,,,,,,,,,,,,22890342.5,259710875.5,791257234.0,,,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,4,base_hash_join,query,2,2,0.009222,,,108436.34786380395,4202.31,ae9fb9dc,81574724499.0,,,,,3.83,,,,,,,,,,,,,,190735155.0,464341201.0,687544854.0,,,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,1,base_merge_join,query,2,3,0.05793,,,17262.213015708614,5132.67,ae9fb9dc,31434420202.5,,,,,1.58,,,,,,,,,,,,,,30207231.0,462099042.0,687552522.0,,,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,2,pipeline_view,query,2,3,0.1147,,,8718.39581517001,4858.94,ae9fb9dc,9841854903.0,,,,,1.03,,,,,,,,,,,,,,18126389.0,232567860.5,687526999.0,,,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,3,mi_coli_walk,query,2,3,0.08608,,,11617.100371747212,5239.35,ae9fb9dc,12638799477.5,,,,,1.17,,,,,,,,,,,,,,23246092.0,260410798.0,791271483.0,,,,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,4,base_hash_join,query,2,3,0.009422,,,106134.57864572278,4202.31,ae9fb9dc,81718060121.5,,,,,3.79,,,,,,,,,,,,,,186643850.0,464782819.0,687543741.0,,,,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,1,base_merge_join,query,2,1,0.02987,,,33478.40642785403,4290.28,ae9fb9dc,15421338651.185,11706976359.605,190884939.84,11510128.035,29489160.13,0.18,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,2,pipeline_view,query,2,1,0.03645,,,27434.842249657064,4673.23,ae9fb9dc,8235648597.174999,4641526478.93,127707449.285,2475405.5650000004,17548747.96,0.10500000000000001,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,3,mi_col_walk,query,2,1,0.04079,,,24515.812699190978,4390.67,ae9fb9dc,11061378808.42,7046810213.559999,144886059.20499998,7805217.32,20826034.16,0.165,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,4,base_hash_join,query,2,1,0.008757,,,114194.35879867536,3404.91,ae9fb9dc,29460978442.045002,16063140624.035,441726896.72,26147136.990000002,60879733.56,0.10500000000000001,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,1,base_merge_join,query,2,2,0.03004,,,33288.948069241014,4290.28,ae9fb9dc,15324592795.835,11701619751.01,185660511.495,11283100.145,31998698.59,0.175,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,2,pipeline_view,query,2,2,0.0378,,,26455.026455026455,4673.23,ae9fb9dc,8462033864.705,4618223589.01,128098498.71000001,7195640.15,17816676.490000002,0.11,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,3,mi_col_walk,query,2,2,0.04077,,,24527.83909737552,4390.67,ae9fb9dc,11074467115.130001,7035749413.775,142811487.87,7867041.1,20889208.725,0.165,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,4,base_hash_join,query,2,2,0.008882,,,112587.25512272012,3404.91,ae9fb9dc,27680929317.614998,16026814390.7,442024274.67499995,22688771.075,61209709.075,0.105,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,1,base_merge_join,query,2,3,0.02869,,,34855.35029627048,4290.28,ae9fb9dc,15297585508.56,11696559439.525002,188134059.055,11450099.895,29184643.380000003,0.165,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,2,pipeline_view,query,2,3,0.0377,,,26525.198938992045,4673.23,ae9fb9dc,8488934808.135,4620334620.455,128586316.555,7331380.005000001,17797772.78,0.11,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,3,mi_col_walk,query,2,3,0.04105,,,24360.5359317905,4390.67,ae9fb9dc,10727368812.985,7015536706.445,138384801.42000002,7766447.925000001,20613501.765,0.16,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,4,base_hash_join,query,2,3,0.008814,,,113455.86566825504,3404.91,ae9fb9dc,28485377622.585,16051524544.289999,438984844.54499996,25982019.355,60745638.74,0.105,99.98,2207560.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,1,base_merge_join,query,2,1,0.08061,,,12405.408758218584,3824.1,ae9fb9dc,25279881774.0,,,,,3.06,,,,,,,,,,,,,,14952166.0,187076298.5,556089740.0,,,,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,2,pipeline_view,query,2,1,0.1239,,,8071.0250201775625,3711.4,ae9fb9dc,9596380713.0,,,,,1.24,,,,,,,,,,,,,,16085635.0,186770096.5,556095127.0,,,,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,3,mi_col_walk,query,2,1,0.1296,,,7716.04938271605,3909.37,ae9fb9dc,11844374896.5,,,,,1.34,,,,,,,,,,,,,,15083584.5,208221511.0,634947660.0,,,,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,4,base_hash_join,query,2,1,0.01368,,,73099.41520467837,3121.19,ae9fb9dc,75592370383.0,,,,,4.17,,,,,,,,,,,,,,119779410.0,370450277.0,556106165.0,,,,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,1,base_merge_join,query,2,2,0.07923,,,12621.481761958854,3824.1,ae9fb9dc,25676508443.5,,,,,3.05,,,,,,,,,,,,,,15401660.0,185652024.0,556101827.0,,,,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,2,pipeline_view,query,2,2,0.1028,,,9727.626459143969,3711.4,ae9fb9dc,11338468784.5,,,,,1.41,,,,,,,,,,,,,,17120221.5,185826503.0,556093702.0,,,,ssd
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,3,mi_col_walk,query,2,2,0.1224,,,8169.934640522876,3909.37,ae9fb9dc,11975519452.0,,,,,1.38,,,,,,,,,,,,,,15462783.0,207459670.5,634947634.0,,,,ssd
