binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,latency_p50_ms,latency_p99_ms,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss
q5_btree,vanilla,btree,q5,c1,620,0.4,2,pipeline_view,query,2,3,0.002188,,,457038.39122486295,1869.84,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c1,620,0.4,3,mi_col_walk,query,2,3,0.003288,,,304136.2530413625,1757.77,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c1,620,0.4,4,base_hash_join,query,2,3,0.0004618,,,2165439.5842355997,1363.16,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c3,1550,0.4,1,base_merge_join,query,2,1,0.0009937,,,1006339.9416322835,4290.28,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c3,1550,0.4,2,pipeline_view,query,2,1,0.0008304,,,1204238.9210019268,4673.23,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c3,1550,0.4,3,mi_col_walk,query,2,1,0.001279,,,781860.8287724785,4390.67,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c3,1550,0.4,4,base_hash_join,query,2,1,0.0002301,,,4345936.54932638,3404.91,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c1,1500,0.4,1,base_merge_join,query,2,1,0.1687,,,5927.682276229994,1494.36,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c1,1500,0.4,2,pipeline_view,query,2,1,0.2195,,,4555.808656036446,1450.69,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c1,1500,0.4,3,mi_col_walk,query,2,1,0.2205,,,4535.14739229025,1527.84,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c1,1500,0.4,4,base_hash_join,query,2,1,0.007684,,,130140.55179593962,1221.33,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c1,1500,0.4,1,base_merge_join,query,2,2,0.1674,,,5973.715651135006,1494.36,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c1,1500,0.4,2,pipeline_view,query,2,2,0.1744,,,5733.94495412844,1450.69,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c1,1500,0.4,3,mi_col_walk,query,2,2,0.2251,,,4442.47001332741,1527.84,,,,,,,,,,,,,,,,,,,,,,,,,
