binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,3,mi_col_walk,query,2,2,0.09197,,,10873.110796999023,3903.77,4285645c
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,4,base_hash_join,query,2,2,0.006622,,,151011.77891875565,3115.58,4285645c
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,1,base_merge_join,query,2,3,0.06303,,,15865.4608916389,3818.5,4285645c
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,2,pipeline_view,query,2,3,0.07671,,,13036.110024768608,3759.19,4285645c
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,3,mi_col_walk,query,2,3,0.08726,,,11460.004584001834,3903.77,4285645c
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,4,base_hash_join,query,2,3,0.005153,,,194061.71162429653,3115.58,4285645c
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,1,base_merge_join,query,2,1,0.1681,,,5948.83997620464,1492.17,4285645c
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,2,pipeline_view,query,2,1,0.2124,,,4708.097928436911,1465.73,4285645c
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,3,mi_col_walk,query,2,1,0.153,,,6535.9477124183,1525.65,4285645c
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,4,base_hash_join,query,2,1,0.01859,,,53792.36148466918,1219.15,4285645c
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,1,base_merge_join,query,2,2,0.1663,,,6013.229104028864,1492.17,4285645c
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,2,pipeline_view,query,2,2,0.2409,,,4151.100041511,1465.73,4285645c
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,3,mi_col_walk,query,2,2,0.1794,,,5574.136008918617,1525.65,4285645c
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,4,base_hash_join,query,2,2,0.01736,,,57603.6866359447,1219.15,4285645c
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,1,base_merge_join,query,2,3,0.1733,,,5770.3404500865545,1492.17,4285645c
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,2,pipeline_view,query,2,3,0.2402,,,4163.197335553706,1465.73,4285645c
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,3,mi_col_walk,query,2,3,0.2209,,,4526.935264825713,1525.65,4285645c
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,4,base_hash_join,query,2,3,0.01763,,,56721.497447532616,1219.15,4285645c
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,1,base_merge_join,query,2,1,0.0568,,,17605.6338028169,3818.5,4285645c
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,2,pipeline_view,query,2,1,0.09632,,,10382.059800664452,3759.19,4285645c
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,3,mi_col_walk,query,2,1,0.07765,,,12878.3000643915,3903.77,4285645c
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,4,base_hash_join,query,2,1,0.007114,,,140567.8942929435,3115.58,4285645c
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,1,base_merge_join,query,2,2,0.06863,,,14570.887367040654,3818.5,4285645c
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,2,pipeline_view,query,2,2,0.08612,,,11611.704598235021,3759.19,4285645c
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,3,mi_col_walk,query,2,2,0.1014,,,9861.932938856015,3903.77,4285645c
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,4,base_hash_join,query,2,2,0.005321,,,187934.59875963163,3115.58,4285645c
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,1,base_merge_join,query,2,3,0.06728,,,14863.258026159332,3818.5,4285645c
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,2,pipeline_view,query,2,3,0.08125,,,12307.692307692307,3759.19,4285645c
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,3,mi_col_walk,query,2,3,0.09686,,,10324.179227751394,3903.77,4285645c
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,4,base_hash_join,query,2,3,0.005092,,,196386.48860958364,3115.58,4285645c
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,1,base_merge_join,query,2,1,0.0007824,,,1278118.609406953,6241.15,4285645c
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,2,pipeline_view,query,2,1,0.001264,,,791139.2405063291,6315.7,4285645c
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,3,mi_coli_walk,query,2,1,0.001175,,,851063.829787234,6362.41,4285645c
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,4,base_hash_join,query,2,1,0.0002688,,,3720238.0952380956,5047.73,4285645c
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,1,base_merge_join,query,2,2,0.0007746,,,1290988.8974954817,6241.15,4285645c
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,2,pipeline_view,query,2,2,0.001256,,,796178.3439490446,6315.7,4285645c
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,3,mi_coli_walk,query,2,2,0.001163,,,859845.2278589854,6362.41,4285645c
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,4,base_hash_join,query,2,2,0.0002677,,,3735524.841240194,5047.73,4285645c
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,1,base_merge_join,query,2,3,0.0007759,,,1288825.8796236627,6241.15,4285645c
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,2,pipeline_view,query,2,3,0.001272,,,786163.5220125787,6315.7,4285645c
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,3,mi_coli_walk,query,2,3,0.001164,,,859106.529209622,6362.41,4285645c
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,4,base_hash_join,query,2,3,0.0002673,,,3741114.8522259635,5047.73,4285645c
q3i_btree,tpchi,btree,q3i,c1,620,0.4,1,base_merge_join,query,2,1,0.001945,,,514138.8174807198,2496.55,4285645c
q3i_btree,tpchi,btree,q3i,c1,620,0.4,2,pipeline_view,query,2,1,0.003209,,,311623.5587410408,2525.03,4285645c
q3i_btree,tpchi,btree,q3i,c1,620,0.4,3,mi_coli_walk,query,2,1,0.002999,,,333444.48149383126,2544.34,4285645c
q3i_btree,tpchi,btree,q3i,c1,620,0.4,4,base_hash_join,query,2,1,0.0007492,,,1334757.0742124934,2018.69,4285645c
q3i_btree,tpchi,btree,q3i,c1,620,0.4,1,base_merge_join,query,2,2,0.002005,,,498753.11720698257,2496.55,4285645c
q3i_btree,tpchi,btree,q3i,c1,620,0.4,2,pipeline_view,query,2,2,0.003225,,,310077.51937984495,2525.03,4285645c
q3i_btree,tpchi,btree,q3i,c1,620,0.4,3,mi_coli_walk,query,2,2,0.003008,,,332446.8085106383,2544.34,4285645c
q3i_btree,tpchi,btree,q3i,c1,620,0.4,4,base_hash_join,query,2,2,0.0007459,,,1340662.287169862,2018.69,4285645c
q3i_btree,tpchi,btree,q3i,c1,620,0.4,1,base_merge_join,query,2,3,0.002057,,,486144.8711716092,2496.55,4285645c
