binary,cell,structure,cpu_llc_miss_per_tx,bm_rounds,dt_struct_split,sst_read_us_per_tx,sst_compaction_us,cpu_cycles_per_tx,disk
q3i_btree,c1,2,982986.17,154055.0,0.0,,,6090767933.705,hdd
q3i_btree,c1,3,1062550.895,149808.0,0.0,,,6695300319.16,hdd
q3i_btree,c1,4,2099147.145,162994.0,0.0,,,25653298808.92,hdd
q3i_btree,c3,1,9015754.59,109835.0,0.0,,,29870862486.665,hdd
q3i_btree,c3,2,3191868.415,247564.0,0.0,,,13941950143.39,hdd
q3i_btree,c3,3,3659528.48,212877.0,0.0,,,15559679046.275002,hdd
q3i_btree,c3,4,27314833.145,205206.0,0.0,,,68136048455.47,hdd
q3i_lsm,c0,1,,,,37164214.0,688226129.0,31516052428.0,hdd
q3i_lsm,c0,2,,,,23402153.0,688166932.0,11149993028.5,hdd
q3i_lsm,c0,3,,,,43220072.0,792142216.0,15196862776.0,hdd
q3i_lsm,c0,4,,,,583634992.0,688144212.0,96741249062.0,hdd
q3i_lsm,c1,1,,,,10987533.5,267907789.0,11828172551.5,hdd
q3i_lsm,c1,2,,,,9266382.67,267878355.0,4198341223.5,hdd
q3i_lsm,c1,3,,,,9134358.0,308316303.0,5545958575.0,hdd
q3i_lsm,c1,4,,,,205178950.0,267880006.0,35863987254.5,hdd
q3i_lsm,c3,1,,,,38918551.0,688226268.0,30813501544.0,hdd
q3i_lsm,c3,2,,,,26713092.5,688270005.0,10524096625.5,hdd
q3i_lsm,c3,3,,,,43496086.0,792597346.0,14288947485.5,hdd
q3i_lsm,c3,4,,,,661521883.0,688252837.0,95086214639.5,hdd
q5_btree,c0,1,6001351.305,149432.0,0.0,,,20253557409.52,hdd
q5_btree,c0,2,5555178.815,206007.0,0.0,,,12842824203.634998,hdd
q5_btree,c0,3,3644253.41,154129.0,0.0,,,14335493575.349998,hdd
q5_btree,c0,4,24453248.205,153618.0,0.0,,,46034452644.865005,hdd
q5_btree,c1,1,1345217.9249999998,138230.0,0.0,,,8110490379.835,hdd
q5_btree,c1,2,1229415.32,120383.0,0.0,,,5482561461.445,hdd
q5_btree,c1,3,1042726.335,114280.0,0.0,,,6115582447.305,hdd
q5_btree,c1,4,2541618.66,132398.0,0.0,,,17575861778.985,hdd
q5_btree,c3,1,1573508.185,151727.0,0.0,,,20283353400.1,hdd
q5_btree,c3,2,1410414.455,180740.0,0.0,,,12573243502.53,hdd
q5_btree,c3,3,1247097.035,133008.0,0.0,,,14245461713.115,hdd
q5_btree,c3,4,5217128.215,253593.0,0.0,,,47111293008.94,hdd
q5_lsm,c0,1,,,,25525956.0,556540335.0,22518500703.5,hdd
q5_lsm,c0,2,,,,21901790.0,556538300.0,11602225540.0,hdd
q5_lsm,c0,3,,,,17703251.0,635535270.0,11694792761.5,hdd
q5_lsm,c0,4,,,,770238170.0,556553843.0,90476487631.5,hdd
q5_lsm,c1,1,,,,6373765.33,216182071.0,8994441984.5,hdd
q5_lsm,c1,2,,,,7172053.5,216198395.0,4060184273.0,hdd
q5_lsm,c1,3,,,,6024528.5,246835754.0,4311536068.5,hdd
q5_lsm,c1,4,,,,149783454.0,216189806.0,31391657178.0,hdd
q5_lsm,c3,1,,,,25656270.0,556491609.0,21985841476.0,hdd
q5_lsm,c3,2,,,,21743743.5,556494035.0,10717439255.0,hdd
q5_lsm,c3,3,,,,18025496.0,635513763.0,11142159622.0,hdd
q5_lsm,c3,4,,,,772880856.0,556453799.0,86002431926.5,hdd
q5i_btree,c0,1,10437300.8,164809.0,0.0,,,22695438752.58,hdd
q5i_btree,c0,2,5428412.61,225310.0,0.0,,,13587078262.965,hdd
q5i_btree,c0,3,4405414.02,205173.0,0.0,,,16311923945.724998,hdd
q5i_btree,c0,4,41211438.93,219519.0,0.0,,,65103237074.155,hdd
q5i_btree,c1,1,2179812.795,193740.0,0.0,,,9256706425.145,hdd
q5i_btree,c1,2,1197510.095,184281.0,0.0,,,5610993309.885,hdd
q5i_btree,c1,3,1173648.45,158356.0,0.0,,,6891759953.54,hdd
q5i_btree,c1,4,3346494.425,155834.0,0.0,,,24036373158.045,hdd
q5i_btree,c3,1,13235635.325,226279.0,0.0,,,23934824791.695,hdd
q5i_btree,c3,2,5817119.725,211397.0,0.0,,,13198092356.335,hdd
q5i_btree,c3,3,4609502.125,275738.0,0.0,,,15815393717.4,hdd
q5i_btree,c3,4,43155931.535,232540.0,0.0,,,67764566243.865005,hdd
q5i_lsm,c0,1,,,,36813925.0,688199382.0,30278737162.0,hdd
q5i_lsm,c0,2,,,,38598900.0,688362647.0,9994015063.0,hdd
q5i_lsm,c0,3,,,,42188335.0,792335012.0,14685118966.0,hdd
q5i_lsm,c0,4,,,,1777222313.0,688317078.0,122171889435.5,hdd
q5i_lsm,c1,1,,,,9136713.0,267872600.0,11547599993.5,hdd
q5i_lsm,c1,2,,,,6792974.5,267874831.0,3738807170.5,hdd
q5i_lsm,c1,3,,,,9286833.33,308309710.0,5825838168.0,hdd
q5i_lsm,c1,4,,,,538255377.0,267871106.0,44420214459.5,hdd
q5i_lsm,c3,1,,,,39281030.0,688313803.0,30291259604.5,hdd
q5i_lsm,c3,2,,,,37974153.0,688357336.0,9890394700.5,hdd
q5i_lsm,c3,3,,,,43369401.0,792319856.0,14475185581.0,hdd
q5i_lsm,c3,4,,,,1701278923.0,688143856.0,123426890391.0,hdd
